,,,,2021,,,,,,,,,,,
Species,Jan,Feb,March,April,May ,June,July,Aug,Sept,Oct,Nov,Dec,All,,Water Fork Rose Canyon: 1/1/22-8/7/22
Deer,1,0,0,57,27,35,53,3,,,,,176,,
Bobcat,0,0,0,0,0,0,0,0,,,,,0,,"Birds documented: American Robin, Raven, Woodhouse Scrub Jay, Red Tailed Hawk, Vulture"
Mountain Lion,0,0,0,0,2,0,0,0,,,,,2,,
Racoon,0,0,0,0,0,0,7,0,,,,,7,,
Badger,0,0,0,0,1,0,1,0,,,,,2,,"Cannot ID mammal species: RCNX2652 3/20, RCNX5922 6/5"
Squirrel,4,14,28,25,8,7,6,2,,,,,94,,
Coyote,0,0,0,1,3,1,3,3,,,,,11,,"Cannot ID bird species: RCNX2776 3/26, RCNX4108 5/2, RCNX4363 5/6, RCNX5857 6/1, RCNX1089 7/1, RCNX9689 7/18, RCNX0424 7/27"
Domstec Cattle,0,0,0,0,0,15,179,0,,,,,194,,
Skunk,0,0,0,0,0,0,0,0,,,,,0,,Interesting Photos
cottontail,0,0,0,0,0,0,0,0,,,,,0,,
Jack Rabbit,0,0,0,0,0,0,0,0,,,,,0,,
Wild Turkey,0,0,0,0,1,0,0,0,,,,,1,,
,,,,,,,,,,,,,,,*Camera not set up 6/22/22-6/26/22
Total Individuals,5,14,28,83,42,58,249,8,,,,,487,,
Trap Days,31,28,31,30,31,25,31,7,,,,,214,,
,,,,,,,,,,,,,,,
Relative Abundance,,,,,,,,,,,,,,,
Species,,,,April ,May,,,,,,,,All,,
Deer,20,0,0,68.6746988,64.28571429,60.34482759,21.28514056,37.5,,,,,36.13963039,,
Bobcat,0,0,0,0,0,0,0,0,,,,,0,,
Mountain Lion,0,0,0,0,4.761904762,0,0,0,,,,,0.4106776181,,
Racoon,0,0,0,0,0,0,2.81124498,0,,,,,1.437371663,,
Badger,0,0,0,0,2.380952381,0,0.4016064257,0,,,,,0.4106776181,,
Squirrel,80,100,100,30.12048193,19.04761905,12.06896552,2.409638554,25,,,,,19.30184805,,
Coyote,0,0,0,1.204819277,7.142857143,1.724137931,1.204819277,37.5,,,,,2.258726899,,
Domstec Cattle,0,0,0,0,0,25.86206897,71.8875502,0,,,,,39.83572895,,
Skunk,0,0,0,0,0,0,0,0,,,,,0,,
cottontail,0,0,0,0,0,0,0,0,,,,,0,,
Jack Rabbit,0,0,0,0,0,0,0,0,,,,,0,,
Wild Turkey,0,0,0,0,2.380952381,0,0,0,,,,,0.205338809,,
