Species,Date,Pop,Location
Deer,2022-01,1,Tickville
Bobcat,2022-01,0,Tickville
Mountain Lion,2022-01,0,Tickville
Racoon,2022-01,0,Tickville
Badger,2022-01,0,Tickville
Squirrel,2022-01,4,Tickville
Coyote,2022-01,0,Tickville
Domstec Cattle,2022-01,0,Tickville
Skunk,2022-01,0,Tickville
cottontail,2022-01,0,Tickville
Jack Rabbit,2022-01,0,Tickville
Wild Turkey,2022-01,0,Tickville
Deer,2022-02,0,Tickville
Bobcat,2022-02,0,Tickville
Mountain Lion,2022-02,0,Tickville
Racoon,2022-02,0,Tickville
Badger,2022-02,0,Tickville
Squirrel,2022-02,14,Tickville
Coyote,2022-02,0,Tickville
Domstec Cattle,2022-02,0,Tickville
Skunk,2022-02,0,Tickville
cottontail,2022-02,0,Tickville
Jack Rabbit,2022-02,0,Tickville
Wild Turkey,2022-02,0,Tickville
Deer,2022-03,0,Tickville
Bobcat,2022-03,0,Tickville
Mountain Lion,2022-03,0,Tickville
Racoon,2022-03,0,Tickville
Badger,2022-03,0,Tickville
Squirrel,2022-03,28,Tickville
Coyote,2022-03,0,Tickville
Domstec Cattle,2022-03,0,Tickville
Skunk,2022-03,0,Tickville
cottontail,2022-03,0,Tickville
Jack Rabbit,2022-03,0,Tickville
Wild Turkey,2022-03,0,Tickville
Deer,2022-04,57,Tickville
Bobcat,2022-04,0,Tickville
Mountain Lion,2022-04,0,Tickville
Racoon,2022-04,0,Tickville
Badger,2022-04,0,Tickville
Squirrel,2022-04,25,Tickville
Coyote,2022-04,1,Tickville
Domstec Cattle,2022-04,0,Tickville
Skunk,2022-04,0,Tickville
cottontail,2022-04,0,Tickville
Jack Rabbit,2022-04,0,Tickville
Wild Turkey,2022-04,0,Tickville
Deer,2022-05,27,Tickville
Bobcat,2022-05,0,Tickville
Mountain Lion,2022-05,2,Tickville
Racoon,2022-05,0,Tickville
Badger,2022-05,1,Tickville
Squirrel,2022-05,8,Tickville
Coyote,2022-05,3,Tickville
Domstec Cattle,2022-05,0,Tickville
Skunk,2022-05,0,Tickville
cottontail,2022-05,0,Tickville
Jack Rabbit,2022-05,0,Tickville
Wild Turkey,2022-05,1,Tickville
Deer,2022-06,35,Tickville
Bobcat,2022-06,0,Tickville
Mountain Lion,2022-06,0,Tickville
Racoon,2022-06,0,Tickville
Badger,2022-06,0,Tickville
Squirrel,2022-06,7,Tickville
Coyote,2022-06,1,Tickville
Domstec Cattle,2022-06,15,Tickville
Skunk,2022-06,0,Tickville
cottontail,2022-06,0,Tickville
Jack Rabbit,2022-06,0,Tickville
Wild Turkey,2022-06,0,Tickville
Deer,2022-07,53,Tickville
Bobcat,2022-07,0,Tickville
Mountain Lion,2022-07,0,Tickville
Racoon,2022-07,7,Tickville
Badger,2022-07,1,Tickville
Squirrel,2022-07,6,Tickville
Coyote,2022-07,3,Tickville
Domstec Cattle,2022-07,179,Tickville
Skunk,2022-07,0,Tickville
cottontail,2022-07,0,Tickville
Jack Rabbit,2022-07,0,Tickville
Wild Turkey,2022-07,0,Tickville
Deer,2022-08,3,Tickville
Bobcat,2022-08,0,Tickville
Mountain Lion,2022-08,0,Tickville
Racoon,2022-08,0,Tickville
Badger,2022-08,0,Tickville
Squirrel,2022-08,2,Tickville
Coyote,2022-08,3,Tickville
Domstec Cattle,2022-08,0,Tickville
Skunk,2022-08,0,Tickville
cottontail,2022-08,0,Tickville
Jack Rabbit,2022-08,0,Tickville
Wild Turkey,2022-08,0,Tickville
Deer,2022-01,1,West Canyon 
Bobcat,2022-01,0,West Canyon 
Mountain Lion,2022-01,0,West Canyon 
Racoon,2022-01,0,West Canyon 
Badger,2022-01,0,West Canyon 
Squirrel,2022-01,4,West Canyon 
Coyote,2022-01,0,West Canyon 
Domstec Cattle,2022-01,0,West Canyon 
Skunk,2022-01,0,West Canyon 
cottontail,2022-01,0,West Canyon 
Jack Rabbit,2022-01,0,West Canyon 
Wild Turkey,2022-01,0,West Canyon 
Deer,2022-02,0,West Canyon 
Bobcat,2022-02,0,West Canyon 
Mountain Lion,2022-02,0,West Canyon 
Racoon,2022-02,0,West Canyon 
Badger,2022-02,0,West Canyon 
Squirrel,2022-02,14,West Canyon 
Coyote,2022-02,0,West Canyon 
Domstec Cattle,2022-02,0,West Canyon 
Skunk,2022-02,0,West Canyon 
cottontail,2022-02,0,West Canyon 
Jack Rabbit,2022-02,0,West Canyon 
