speciesId,year,count,__typename,speciesCode
5,2000,1,"PublicVisualizationSpeciesChartPayload","EPFU"
11,2000,1,"PublicVisualizationSpeciesChartPayload","LANO"
13,2000,1,"PublicVisualizationSpeciesChartPayload","LABO"
14,2000,1,"PublicVisualizationSpeciesChartPayload","LACI"
1,2001,1,"PublicVisualizationSpeciesChartPayload","ANPA"
5,2001,1,"PublicVisualizationSpeciesChartPayload","EPFU"
12,2001,1,"PublicVisualizationSpeciesChartPayload","LABL"
14,2001,1,"PublicVisualizationSpeciesChartPayload","LACI"
27,2001,1,"PublicVisualizationSpeciesChartPayload","MYCI"
32,2001,1,"PublicVisualizationSpeciesChartPayload","MYLU"
42,2001,1,"PublicVisualizationSpeciesChartPayload","PAHE"
44,2001,1,"PublicVisualizationSpeciesChartPayload","TABR"
1,2002,2,"PublicVisualizationSpeciesChartPayload","ANPA"
4,2002,1,"PublicVisualizationSpeciesChartPayload","COTO"
5,2002,2,"PublicVisualizationSpeciesChartPayload","EPFU"
11,2002,1,"PublicVisualizationSpeciesChartPayload","LANO"
12,2002,1,"PublicVisualizationSpeciesChartPayload","LABL"
14,2002,2,"PublicVisualizationSpeciesChartPayload","LACI"
27,2002,2,"PublicVisualizationSpeciesChartPayload","MYCI"
32,2002,2,"PublicVisualizationSpeciesChartPayload","MYLU"
42,2002,1,"PublicVisualizationSpeciesChartPayload","PAHE"
44,2002,1,"PublicVisualizationSpeciesChartPayload","TABR"
1,2006,1,"PublicVisualizationSpeciesChartPayload","ANPA"
4,2006,1,"PublicVisualizationSpeciesChartPayload","COTO"
27,2006,2,"PublicVisualizationSpeciesChartPayload","MYCI"
32,2006,2,"PublicVisualizationSpeciesChartPayload","MYLU"
42,2006,2,"PublicVisualizationSpeciesChartPayload","PAHE"
44,2006,1,"PublicVisualizationSpeciesChartPayload","TABR"
11,2007,1,"PublicVisualizationSpeciesChartPayload","LANO"
14,2007,1,"PublicVisualizationSpeciesChartPayload","LACI"
44,2007,1,"PublicVisualizationSpeciesChartPayload","TABR"
1,2008,1,"PublicVisualizationSpeciesChartPayload","ANPA"
5,2008,1,"PublicVisualizationSpeciesChartPayload","EPFU"
11,2008,3,"PublicVisualizationSpeciesChartPayload","LANO"
12,2008,1,"PublicVisualizationSpeciesChartPayload","LABL"
14,2008,3,"PublicVisualizationSpeciesChartPayload","LACI"
27,2008,1,"PublicVisualizationSpeciesChartPayload","MYCI"
32,2008,3,"PublicVisualizationSpeciesChartPayload","MYLU"
42,2008,1,"PublicVisualizationSpeciesChartPayload","PAHE"
44,2008,4,"PublicVisualizationSpeciesChartPayload","TABR"
5,2009,1,"PublicVisualizationSpeciesChartPayload","EPFU"
11,2009,1,"PublicVisualizationSpeciesChartPayload","LANO"
13,2009,1,"PublicVisualizationSpeciesChartPayload","LABO"
